time	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
4.043943357993544e-008	8.058945e-006	3.449400e-006	-2.694140e-008	1.290946e-008	1.349893e-007
4.044443357993544e-008	8.057889e-006	3.447858e-006	-2.727625e-008	1.289702e-008	1.347758e-007
4.044943357993545e-008	8.056818e-006	3.446315e-006	-2.761041e-008	1.288460e-008	1.345647e-007
4.045443357993546e-008	8.055731e-006	3.444770e-006	-2.794389e-008	1.287218e-008	1.343561e-007
4.047686215136406e-008	8.053721e-006	3.436262e-006	-2.943562e-008	1.281693e-008	1.334647e-007
4.049929072279265e-008	8.058593e-006	3.426121e-006	-3.092499e-008	1.276146e-008	1.326239e-007
4.052171929422125e-008	8.070348e-006	3.414347e-006	-3.241199e-008	1.270579e-008	1.318336e-007
4.054414786564984e-008	8.088986e-006	3.400939e-006	-3.389664e-008	1.264991e-008	1.310939e-007
4.056657643707844e-008	8.114507e-006	3.385898e-006	-3.537893e-008	1.259383e-008	1.304048e-007
4.058900500850704e-008	8.146911e-006	3.369223e-006	-3.685886e-008	1.253753e-008	1.297661e-007
4.061143357993563e-008	8.186197e-006	3.350915e-006	-3.833643e-008	1.248103e-008	1.291781e-007
4.061457643707850e-008	8.188664e-006	3.349320e-006	-3.854394e-008	1.247312e-008	1.290881e-007
4.061771929422135e-008	8.191048e-006	3.347753e-006	-3.875145e-008	1.246521e-008	1.289982e-007
4.062086215136422e-008	8.193350e-006	3.346214e-006	-3.895895e-008	1.245730e-008	1.289086e-007
4.062400500850708e-008	8.195571e-006	3.344702e-006	-3.916645e-008	1.244940e-008	1.288193e-007
4.062714786564994e-008	8.197709e-006	3.343219e-006	-3.937394e-008	1.244150e-008	1.287301e-007
4.063029072279280e-008	8.199766e-006	3.341763e-006	-3.958142e-008	1.243360e-008	1.286411e-007
4.063343357993566e-008	8.201740e-006	3.340336e-006	-3.978890e-008	1.242571e-008	1.285524e-007
4.064171929422138e-008	8.206546e-006	3.336709e-006	-4.033352e-008	1.240492e-008	1.283196e-007
4.065000500850710e-008	8.210961e-006	3.333205e-006	-4.087669e-008	1.238416e-008	1.280883e-007
4.065829072279283e-008	8.214986e-006	3.329823e-006	-4.141840e-008	1.236344e-008	1.278586e-007
4.066657643707856e-008	8.218620e-006	3.326563e-006	-4.195866e-008	1.234276e-008	1.276304e-007
4.067486215136428e-008	8.221863e-006	3.323425e-006	-4.249746e-008	1.232212e-008	1.274037e-007
4.068314786565000e-008	8.224715e-006	3.320408e-006	-4.303481e-008	1.230151e-008	1.271787e-007
4.069143357993573e-008	8.227177e-006	3.317514e-006	-4.357069e-008	1.228094e-008	1.269551e-007
4.071943357993576e-008	8.233668e-006	3.308212e-006	-4.537341e-008	1.221177e-008	1.262109e-007
4.076214786565009e-008	8.238424e-006	3.295552e-006	-4.809151e-008	1.210729e-008	1.251196e-007
4.080486215136443e-008	8.238758e-006	3.283568e-006	-5.079042e-008	1.200402e-008	1.240545e-007
4.084757643707876e-008	8.234669e-006	3.272258e-006	-5.347013e-008	1.190194e-008	1.230158e-007
4.089029072279309e-008	8.226159e-006	3.261624e-006	-5.613063e-008	1.180105e-008	1.220034e-007
4.093300500850743e-008	8.213227e-006	3.251664e-006	-5.877194e-008	1.170137e-008	1.210173e-007
4.097571929422176e-008	8.195873e-006	3.242380e-006	-6.139404e-008	1.160288e-008	1.200575e-007
4.101843357993610e-008	8.174096e-006	3.233771e-006	-6.399695e-008	1.150559e-008	1.191241e-007
4.101943357993610e-008	8.173600e-006	3.233553e-006	-6.405790e-008	1.150332e-008	1.191024e-007
4.106214786565043e-008	8.150715e-006	3.224157e-006	-6.665282e-008	1.140713e-008	1.181890e-007
4.110486215136477e-008	8.127338e-006	3.214353e-006	-6.924188e-008	1.131165e-008	1.172930e-007
4.114757643707910e-008	8.103470e-006	3.204140e-006	-7.182507e-008	1.121690e-008	1.164142e-007
4.119029072279343e-008	8.079111e-006	3.193518e-006	-7.440240e-008	1.112287e-008	1.155526e-007
4.123300500850777e-008	8.054261e-006	3.182487e-006	-7.697387e-008	1.102955e-008	1.147084e-007
4.127571929422210e-008	8.028920e-006	3.171046e-006	-7.953947e-008	1.093696e-008	1.138814e-007
4.131843357993644e-008	8.003087e-006	3.159197e-006	-8.209921e-008	1.084510e-008	1.130717e-007
4.131943357993644e-008	8.002500e-006	3.158914e-006	-8.215918e-008	1.084295e-008	1.130528e-007
4.136214786565077e-008	7.977454e-006	3.146548e-006	-8.471820e-008	1.075151e-008	1.122561e-007
4.140486215136511e-008	7.952881e-006	3.133912e-006	-8.727716e-008	1.066055e-008	1.114701e-007
4.144757643707944e-008	7.928781e-006	3.121004e-006	-8.983608e-008	1.057007e-008	1.106948e-007
4.149029072279377e-008	7.905155e-006	3.107826e-006	-9.239494e-008	1.048006e-008	1.099302e-007
4.153300500850811e-008	7.882002e-006	3.094376e-006	-9.495376e-008	1.039054e-008	1.091764e-007
4.157571929422244e-008	7.859322e-006	3.080656e-006	-9.751252e-008	1.030150e-008	1.084332e-007
4.161843357993678e-008	7.837116e-006	3.066665e-006	-1.000712e-007	1.021293e-008	1.077009e-007
4.161943357993678e-008	7.836604e-006	3.066338e-006	-1.001312e-007	1.021087e-008	1.076838e-007
4.191943357993712e-008	7.695862e-006	2.966007e-006	-1.181647e-007	9.602366e-009	1.027449e-007
4.221943357993746e-008	7.576167e-006	2.865883e-006	-1.363281e-007	9.019466e-009	9.810567e-008
4.226214786565179e-008	7.560454e-006	2.851878e-006	-1.389260e-007	8.938680e-009	9.746562e-008
4.230486215136613e-008	7.544964e-006	2.837961e-006	-1.415267e-007	8.858461e-009	9.683004e-008
4.234757643708046e-008	7.529696e-006	2.824134e-006	-1.441302e-007	8.778809e-009	9.619894e-008
4.239029072279479e-008	7.514651e-006	2.810394e-006	-1.467365e-007	8.699723e-009	9.557232e-008
4.243300500850913e-008	7.499828e-006	2.796744e-006	-1.493456e-007	8.621204e-009	9.495017e-008
4.247571929422346e-008	7.485228e-006	2.783182e-006	-1.519575e-007	8.543251e-009	9.433249e-008
4.251843357993780e-008	7.470851e-006	2.769709e-006	-1.545722e-007	8.465864e-009	9.371929e-008
4.251943357993780e-008	7.470515e-006	2.769395e-006	-1.546334e-007	8.464060e-009	9.370498e-008
4.256214786565213e-008	7.456301e-006	2.756023e-006	-1.572508e-007	8.387260e-009	9.309605e-008
4.260486215136647e-008	7.442222e-006	2.742744e-006	-1.598706e-007	8.311022e-009	9.249119e-008
