time	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
7.777551613840209e-009	-1.411717e-012	1.279891e-011	9.867756e-010	9.871551e-010	6.078984e-014
7.779551613840208e-009	-1.413054e-012	1.282389e-011	9.899064e-010	9.902873e-010	6.093073e-014
7.781551613840207e-009	-1.414478e-012	1.284913e-011	9.936598e-010	9.940425e-010	6.107196e-014
7.783551613840205e-009	-1.416030e-012	1.287471e-011	9.981442e-010	9.985293e-010	6.121465e-014
7.785551613840204e-009	-1.417734e-012	1.290074e-011	1.003468e-009	1.003855e-009	6.135815e-014
7.787551613840203e-009	-1.419642e-012	1.292731e-011	1.009738e-009	1.010129e-009	6.150365e-014
7.789551613840202e-009	-1.421787e-012	1.295457e-011	1.017060e-009	1.017455e-009	6.165065e-014
7.792551613840201e-009	-1.425566e-012	1.299701e-011	1.030250e-009	1.030652e-009	6.187519e-014
7.795551613840199e-009	-1.430179e-012	1.304178e-011	1.046402e-009	1.046813e-009	6.210791e-014
7.798551613840198e-009	-1.435817e-012	1.308946e-011	1.065867e-009	1.066289e-009	6.234863e-014
7.801551613840196e-009	-1.442696e-012	1.314068e-011	1.088991e-009	1.089426e-009	6.259771e-014
7.806408756697337e-009	-1.453722e-012	1.322272e-011	1.131858e-009	1.132317e-009	6.299923e-014
7.811265899554477e-009	-1.472992e-012	1.332885e-011	1.189890e-009	1.190382e-009	6.346943e-014
7.816123042411618e-009	-1.500505e-012	1.345906e-011	1.263087e-009	1.263619e-009	6.400831e-014
7.820980185268757e-009	-1.536262e-012	1.361336e-011	1.351449e-009	1.352031e-009	6.461588e-014
7.825837328125897e-009	-1.580262e-012	1.379173e-011	1.454975e-009	1.455615e-009	6.529213e-014
7.830694470983038e-009	-1.632506e-012	1.399419e-011	1.573667e-009	1.574373e-009	6.603706e-014
7.835551613840178e-009	-1.692993e-012	1.422073e-011	1.707523e-009	1.708304e-009	6.685067e-014
7.840694470983033e-009	-1.770541e-012	1.449971e-011	1.871764e-009	1.872638e-009	6.782270e-014
7.845837328125887e-009	-1.870103e-012	1.484579e-011	2.060284e-009	2.061263e-009	6.899109e-014
7.850980185268741e-009	-1.991677e-012	1.525895e-011	2.273084e-009	2.274182e-009	7.035584e-014
7.856123042411597e-009	-2.135264e-012	1.573922e-011	2.510163e-009	2.511393e-009	7.191697e-014
7.861265899554451e-009	-2.300864e-012	1.628658e-011	2.771522e-009	2.772898e-009	7.367446e-014
7.866408756697305e-009	-2.488477e-012	1.690103e-011	3.057161e-009	3.058695e-009	7.562831e-014
7.871551613840160e-009	-2.698103e-012	1.758258e-011	3.367078e-009	3.368784e-009	7.777854e-014
7.873551613840159e-009	-2.789214e-012	1.787781e-011	3.494922e-009	3.496699e-009	7.870454e-014
7.875551613840158e-009	-2.884793e-012	1.818697e-011	3.626597e-009	3.628447e-009	7.967243e-014
