time	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
7.777551613840089e-009	9.402298e-012	9.405558e-012	9.987384e-010	1.023233e-009	9.982953e-014
7.779551613840088e-009	9.421288e-012	9.425107e-012	1.001901e-009	1.026361e-009	1.000573e-013
7.781551613840087e-009	9.440441e-012	9.444787e-012	1.005692e-009	1.030066e-009	1.002859e-013
7.783551613840086e-009	9.459804e-012	9.464631e-012	1.010221e-009	1.034449e-009	1.005167e-013
7.785551613840085e-009	9.479448e-012	9.484701e-012	1.015596e-009	1.039612e-009	1.007492e-013
7.787551613840084e-009	9.499429e-012	9.505041e-012	1.021926e-009	1.045656e-009	1.009850e-013
7.789551613840083e-009	9.519838e-012	9.525724e-012	1.029318e-009	1.052680e-009	1.012237e-013
7.792551613840082e-009	9.551426e-012	9.557531e-012	1.042633e-009	1.065274e-009	1.015890e-013
7.795551613840080e-009	9.584473e-012	9.590512e-012	1.058935e-009	1.080633e-009	1.019674e-013
7.798551613840079e-009	9.619341e-012	9.624966e-012	1.078581e-009	1.099087e-009	1.023600e-013
7.801551613840077e-009	9.656421e-012	9.661211e-012	1.101919e-009	1.120964e-009	1.027683e-013
7.806408756697218e-009	9.715845e-012	9.719247e-012	1.145178e-009	1.161416e-009	1.034255e-013
7.811265899554358e-009	9.790447e-012	9.789774e-012	1.203743e-009	1.216125e-009	1.042025e-013
7.816123042411499e-009	9.880227e-012	9.872792e-012	1.277614e-009	1.285091e-009	1.050994e-013
7.820980185268638e-009	9.985184e-012	9.968300e-012	1.366790e-009	1.368314e-009	1.061162e-013
7.825837328125778e-009	1.010532e-011	1.007630e-011	1.471271e-009	1.465794e-009	1.072528e-013
7.830694470982919e-009	1.024063e-011	1.019679e-011	1.591057e-009	1.577531e-009	1.085093e-013
7.835551613840059e-009	1.039112e-011	1.032977e-011	1.726150e-009	1.703524e-009	1.098857e-013
7.840694470982914e-009	1.057507e-011	1.049074e-011	1.891909e-009	1.858119e-009	1.115362e-013
7.845837328125768e-009	1.080164e-011	1.068752e-011	2.082187e-009	2.035734e-009	1.135282e-013
7.850980185268622e-009	1.107085e-011	1.092013e-011	2.296984e-009	2.236369e-009	1.158617e-013
7.856123042411478e-009	1.138269e-011	1.118856e-011	2.536300e-009	2.460026e-009	1.185367e-013
7.861265899554332e-009	1.173716e-011	1.149280e-011	2.800135e-009	2.706704e-009	1.215531e-013
7.866408756697186e-009	1.213426e-011	1.183287e-011	3.088488e-009	2.976402e-009	1.249110e-013
7.871551613840041e-009	1.257399e-011	1.220876e-011	3.401361e-009	3.269121e-009	1.286104e-013
7.873551613840040e-009	1.276429e-011	1.237138e-011	3.530430e-009	3.389964e-009	1.302051e-013
7.875551613840038e-009	1.296348e-011	1.254156e-011	3.663372e-009	3.514462e-009	1.318720e-013
7.882837328125749e-009	1.374481e-011	1.320709e-011	4.185901e-009	4.003796e-009	1.383797e-013
7.890123042411460e-009	1.468268e-011	1.400809e-011	4.753583e-009	4.536277e-009	1.461716e-013
7.897408756697170e-009	1.577708e-011	1.494456e-011	5.366417e-009	5.111904e-009	1.552476e-013
7.904694470982880e-009	1.702802e-011	1.601650e-011	6.024405e-009	5.730678e-009	1.656077e-013
7.911980185268590e-009	1.843550e-011	1.722391e-011	6.727544e-009	6.392600e-009	1.772520e-013
7.919265899554302e-009	1.999951e-011	1.856679e-011	7.475837e-009	7.097667e-009	1.901803e-013
7.926551613840012e-009	2.172006e-011	2.004514e-011	8.269282e-009	7.845882e-009	2.043928e-013
7.935265899554294e-009	2.403625e-011	2.203790e-011	9.269565e-009	8.790544e-009	2.235158e-013
7.943980185268574e-009	2.663171e-011	2.428270e-011	1.030053e-008	9.766209e-009	2.450153e-013
7.952694470982855e-009	2.950645e-011	2.677954e-011	1.136217e-008	1.077288e-008	2.688915e-013
7.961408756697137e-009	3.266046e-011	2.952842e-011	1.245448e-008	1.181055e-008	2.951443e-013
7.970123042411419e-009	3.609375e-011	3.252933e-011	1.357748e-008	1.287922e-008	3.237737e-013
7.978837328125699e-009	3.980632e-011	3.578228e-011	1.473115e-008	1.397890e-008	3.547797e-013
7.987551613839980e-009	4.379816e-011	3.928726e-011	1.591551e-008	1.510958e-008	3.881623e-013
7.991123042411408e-009	4.551724e-011	4.080214e-011	1.640053e-008	1.557346e-008	4.025803e-013
7.994694470982833e-009	4.728220e-011	4.236005e-011	1.688701e-008	1.603914e-008	4.174031e-013
7.998265899554261e-009	4.909304e-011	4.396099e-011	1.737495e-008	1.650662e-008	4.326307e-013
8.001837328125687e-009	5.094975e-011	4.560497e-011	1.786434e-008	1.697590e-008	4.482631e-013
8.005408756697114e-009	5.285234e-011	4.729197e-011	1.835519e-008	1.744698e-008	4.643003e-013
8.008980185268540e-009	5.480080e-011	4.902202e-011	1.884750e-008	1.791986e-008	4.807423e-013
8.012551613839967e-009	5.679514e-011	5.079509e-011	1.934126e-008	1.839455e-008	4.975891e-013
8.013551613839967e-009	5.736134e-011	5.129903e-011	1.947949e-008	1.852751e-008	5.023774e-013
8.014551613839966e-009	5.793101e-011	5.180630e-011	1.961775e-008	1.866055e-008	5.071971e-013
8.016551613839965e-009	5.908080e-011	5.283075e-011	1.989440e-008	1.892683e-008	5.169264e-013
8.017980185268535e-009	5.991063e-011	5.357063e-011	2.009212e-008	1.911723e-008	5.239538e-013
8.019408756697107e-009	6.074741e-011	5.431718e-011	2.028981e-008	1.930767e-008	5.310440e-013
8.020837328125677e-009	6.159113e-011	5.507039e-011	2.048747e-008	1.949815e-008	5.381967e-013
8.022265899554248e-009	6.244181e-011	5.583026e-011	2.068509e-008	1.968868e-008	5.454122e-013
8.023694470982818e-009	6.329943e-011	5.659679e-011	2.088268e-008	1.987924e-008	5.526903e-013
8.025123042411390e-009	6.416400e-011	5.736998e-011	2.108024e-008	2.006984e-008	5.600311e-013
